key,label,tags,meaning,advice,category,psych,culture.kr
home_place,집,"자아,안정,경계",자기 경계/안정.,공간 10분 정리.,장소,,
apartment_place,아파트,"생활,이웃,구조",생활 구조/이웃.,생활 루틴 최적화.,장소,,
office_place,사무실,"일,성과,규율",성과/규율/경계.,최소 성과 1줄.,장소,,
school_place,학교,"학습,평가,성장",학습/평가/성장.,학습 15분.,장소,,
hospital_place,병원,"치유,점검,불안",치유/검진 신호.,증상/질문 메모.,장소,,
market_place,시장,"교류,자원,혼잡",교류/자원/과부하.,할 일 1개만.,장소,,
temple_place,사찰,"의식,정화,관조",의식/정화/관조.,짧은 명상/호흡.,장소,,
church_place,교회,"의지,공동체,규범",의지/공동체/규범.,지지 인물 연락.,장소,,
airport_place,공항,"전환,이동,자격",전환 문턱/자격.,필수 요건 체크.,장소,,
station_place,역,"이동,타이밍,리듬",이동/타이밍.,시간표/리마인더 설정.,장소,,
bridge_place,다리,"연결,전환,결단",연결/전환/결단.,건널 다리 1개 정하기.,장소,,
tunnel_place,터널,"불확실,인내,집중",불확실 구간 통과.,노이즈 제거 25분.,장소,,
