key,label,tags,meaning,advice,category,psych,culture.kr
ocean,바다,"감정,무의식,변화",감정의 광대함/변동성.,파도처럼 오르내리는 감정 관찰 5분.,자연,,
river,강,"흐름,전환,이동",변화의 흐름/전환.,작은 전환 1건 적용.,자연,,
waterfall,폭포,"정화,해소,폭발",정화/해소의 급격한 방출.,감정 라벨링 3문장.,자연,,
mountain,산,"목표,도전,전망",목표/도전/전망.,최상위 목표 1개 다음 행동.,자연,,
forest,숲,"무의식,탐색,방향",무의식 탐험/방향 상실.,혼자 걷기 10분 + 메모.,자연,,
desert,사막,"고갈,인내,탐색",자원 고갈/의미 탐색.,핵심 에너지원 1개 보강.,자연,,
rainbow,무지개,"희망,전환,화해",폭풍 뒤 희망.,감사 1문장 + 작은 축하.,자연,,
storm,폭풍,"감정폭발,정화,긴장",감정의 급격한 방출.,4-7-8 호흡 3회.,자연,,
thunder,천둥번개,"경고,각성,긴장",경고/각성.,결정 전 핵심 질문 1개.,자연,,
wind,강풍,"변화,불안정,정리",변화 바람/불안정.,지지 구조 1개 확보.,자연,,
fog,안개,"불확실,가림,대기",정보 부족/대기.,결정 보류/정보 3개 수집.,자연,,
