key,label,tags,meaning,advice,category,psych,culture.kr
ring_obj,반지,"가치,약속,자기상",가치/약속/자기상.,가치 한 줄 선언.,사물,,
necklace_obj,목걸이,"표현,자기상,관계",표현/자기상.,자기서술 3문장.,사물,,
wallet_obj,지갑,"재정,정체성,접근",재정/정체성/접근.,지출/보안 점검.,사물,,
key_obj,열쇠,"접근,해결,보안",접근/해결.,열쇠 요소 1개 찾기.,사물,,
bag_obj,가방,"짐,준비,정리",짐/준비/정리.,짐에서 뺄 것 1개.,사물,,
book_obj,책,"학습,기록,영감",학습/기록/영감.,요약 3문장.,사물,,
pen_obj,펜,"표현,계획,기록",표현/계획/기록.,오늘 3문장 쓰기.,사물,,
camera_obj,카메라,"시선,기록,기술",시선/기록/기술.,대체 기록 시도.,사물,,
shoes_obj,신발,"기반,이동,정체성",기반/이동/정체성.,기본 도구 점검.,사물,,
clothes_obj,옷,"자기상,경계,표현",자기상/경계/표현.,편안+표현을 만족.,사물,,
watch_obj,시계,"타이밍,우선순위,지연",시간/우선순위.,우선순위 3개.,사물,,
