key,label,tags,meaning,advice,category,psych,culture.kr
running_act,달리기,"추진,도피,에너지",추진/도피 양면.,25분 집중 세션.,행동,,
chasing_act,쫓김,"회피,압박,불안",압박/회피 주제.,도망친 과제 착수.,행동,,
hiding_act,숨기,"자기보호,회피,경계",자기보호/과도한 회피.,안전 행동+작은 노출.,행동,,
flying_act,날기,"자유,확장,효능감",자유/확장/효능감.,확장 목표 미니실험.,행동,,
falling_act,떨어짐,"통제상실,불안,급락",통제 저하/급락 공포.,리스크 버퍼 3줄.,행동,,
speaking_act,말하기,"표현,기술,긴장",표현/기술/긴장.,핵심 1문장 소리내기.,행동,,
singing_act,노래,"표현,감정,자유",표현/감정 방출.,짧은 발성/호흡.,행동,,
dancing_act,춤,"자유,리듬,에너지",자유/리듬/에너지.,3분 몸풀기.,행동,,
crying_act,울음,"정화,표현,감정",정화/감정 방출.,감정 라벨 1개.,행동,,
laughing_act,큰 웃음,"긍정,해방,에너지",긍정/해방/에너지.,감사 1문장.,행동,,
fighting_act,싸움,"갈등,경계,표현",갈등/경계/표현.,I-메시지 3줄.,행동,,
