key,label,tags,meaning,advice,category,psych,culture.kr
lion,사자,"힘,권위,리더십",억눌린 힘/리더십 호출.,회의/대화에서 입장 1번 명확히 표명.,동물,,
tiger,호랑이,"힘,분노,리더십",억눌린 분노/리더십 에너지.,I-메시지 3줄로 경계 선언.,동물,,
bear,곰,"인내,휴식,회복",휴식/동면/회복 필요.,수면 30분 보강.,동물,,
wolf,늑대,"본능,집단,경계",본능/집단 규칙과 경계.,무리 규칙 3줄 정의.,동물,,
fox,여우,"지혜,책략,거리",거리를 둔 지혜/책략.,감정적 거리 1단계 확보.,동물,,
elephant,코끼리,"기억,무게,인내",기억/무게/인내.,큰 과제 분해 3단계.,동물,,
monkey,원숭이,"호기심,장난,학습",호기심/학습/장난.,짧은 실험 10분.,동물,,
deer,사슴,"연약,우아,경계",연약함/우아/경계.,자기돌봄 10분.,동물,,
boar,멧돼지,"돌진,위험,경고",돌진/위험 신호.,속도 20% 감속.,동물,,
snake,뱀,"변화,치유,경고",탈피/변화/치유/경고.,버릴 것 1개 실제로 버리기.,동물,,
dog,개,"충성,보호,연결",충성/보호/연결.,지지 인물에게 감사 1문장.,동물,,
cat,고양이,"자율,직관,거리",자율/직관/거리.,경계 존중 문장 1개.,동물,,
