key,label,tags,meaning,advice,category,psych,culture.kr
smartphone_broken,핸드폰 고장,"연결,정체성,불안",연결/정체성 단절 불안.,백업/2FA/비번 점검 10분.,디지털,,
app_crash,앱 먹통,"노이즈,지연,집중",노이즈/지연.,대체 루틴 10분.,디지털,,
notification_overflow,알림 폭주,"과부하,집중,노이즈",과부하/집중 저하.,알림 묶음/요약 설정.,디지털,,
hacking,해킹 의심,"보안,불안,경계",보안 위협/불안.,비번/2FA/로그 점검.,디지털,,
password_reset,비번 초기화,"접근,기억,안전",접근/기억 이슈.,패스워드 관리자 도입.,디지털,,
two_factor,2단계 인증,"보안,안전,접근",보안 강화.,백업코드 보관.,디지털,,
email_spam,스팸 이메일,"스팸,경계,노이즈",스팸/경계 필요.,필터/차단 설정.,디지털,,
cloud_backup,클라우드 백업,"데이터,안전,복구",데이터 안전/복구.,백업 상태 점검.,디지털,,
storage_full,용량 부족,"과부하,정리,지연",과부하/정리 지연.,공간 정리 10분.,디지털,,
screen_cracked,화면 깨짐,"손상,집중,불편",손상/집중 저하.,스크린타임 조절.,디지털,,
