key,label,tags,meaning,advice,category,psych,culture.kr
cough_sym,기침,"증상,건강,불편",건강 증상 인지.,수분/휴식/상담.,건강,,
fever_sym,발열,"증상,건강,회복",회복/휴식 신호.,수면 보강 + 수분.,건강,,
headache_sym,두통,"증상,스트레스,집중",스트레스/집중.,빛/자극 조절.,건강,,
toothache_sym,치통,"증상,표현,이미지",표현/이미지 이슈.,호흡 3회+핵심 문장.,건강,,
hairloss_sym,탈모,"에너지,자존감,피로",에너지 고갈/자존감.,수면/영양/움직임 보강.,건강,,
injury_sym,부상,"손상,회복,경고",손상/회복/경고.,자기돌봄 10분.,건강,,
blood_sym,피,"에너지,경고,생명",강렬한 에너지/경고.,무리한 일정 피하기.,건강,,
quarantine_sym,격리,"건강,분리,회복",분리/회복 필요.,대기 루틴 준비.,건강,,
surgery_sym,수술,"치료,불안,결정",치료/불안/결정.,2nd 의견/준비 체크.,건강,,
checkup_sym,검진,"점검,예방,안심",점검/예방/안심.,질문 3개 메모.,건강,,
